"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"Touch_pad_10mm";1;"Touch_pad";;;
2;"R9";"R_0805_2012Metric";1;"10k";;;
3;"U1";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"TP4056-42-ESOP8";;;
4;"U3";"SOT-89-3";1;"HT75xx-1-SOT89";;;
5;"J4";"JST_NV_B02P-NV_1x02_P5.00mm_Vertical";1;"Battery";;;
6;"J7";"PinSocket_1x02_P2.54mm_Vertical";1;"ESP_32";;;
7;"D2,D1";"LED_0805_2012Metric";2;"LED";;;
8;"D4";"D_SOD-123";1;"1N4148";;;
9;"J5";"PinSocket_1x01_P2.54mm_Vertical";1;"IO32";;;
10;"J1";"USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal";1;"USB_C_Receptacle_PowerOnly_6P";;;
11;"J6";"PinSocket_1x01_P2.54mm_Vertical";1;"IO31";;;
12;"J2";"JST_NV_B02P-NV_1x02_P5.00mm_Vertical";1;"motor";;;
13;"Q4";"SOT-23";1;"AO3400A";;;
14;"U2";"SOT-23-6";1;"DW01A";;;
15;"R6,R7";"R_0805_2012Metric";2;"5.1k";;;
16;"R2,R10,R3,R4";"R_0805_2012Metric";4;"1k";;;
17;"C3,C4";"C_0805_2012Metric";2;"10uf";;;
18;"R1";"R_0805_2012Metric";1;"2.2k";;;
19;"Q1,Q2";"SOT-23";2;"NMOS";;;
20;"C2,C1";"C_0805_2012Metric";2;"0.1uf";;;
21;"R5";"R_0805_2012Metric";1;"100";;;
22;"R8";"R_0805_2012Metric";1;"220";;;
